gatherer,date,fruit,amount
Nick,01-03-2020,tomatoes,0.15
Rick,01-03-2020,apples,0.03
Rick,01-03-2020,oranges,0.11
Rick,01-03-2020,strawberries,0
Rick,01-03-2020,plums,0
Rick,01-03-2020,pears,0.03
Rick,01-03-2020,tomatoes,0.14
Dick,01-03-2020,apples,0.06
Dick,01-03-2020,oranges,0.2
Dick,01-03-2020,strawberries,0
Dick,01-03-2020,plums,0.01
Dick,01-03-2020,pears,0.05
Dick,01-03-2020,tomatoes,0.21
Jake,01-03-2020,apples,0.04
Jake,01-03-2020,oranges,0.14
Jake,01-03-2020,strawberries,0
Jake,01-03-2020,plums,0
Jake,01-03-2020,pears,0.04
Jake,01-03-2020,tomatoes,0.1
Paul,01-03-2020,apples,0.02
Paul,01-03-2020,oranges,0.03
Paul,01-03-2020,strawberries,0
Paul,01-03-2020,plums,0
Paul,01-03-2020,pears,0.03
Paul,01-03-2020,tomatoes,0.12
Jason,01-03-2020,apples,0.03
Jason,01-03-2020,oranges,0.19
Jason,01-03-2020,strawberries,0.01
Jason,01-03-2020,plums,0
Jason,01-03-2020,pears,0.04
Jason,01-03-2020,tomatoes,0.26
Peter,01-03-2020,apples,0.04
Peter,01-03-2020,oranges,0.12
Peter,01-03-2020,strawberries,0.01
Peter,01-03-2020,plums,0
Peter,01-03-2020,pears,0.05
Peter,01-03-2020,tomatoes,0.01
John,02-03-2020,apples,0.01
John,02-03-2020,oranges,0.22
John,02-03-2020,strawberries,0.01
John,02-03-2020,plums,0
John,02-03-2020,pears,0.02
John,02-03-2020,tomatoes,0.25
Nick,02-03-2020,apples,0.04
Nick,02-03-2020,oranges,0.16
Nick,02-03-2020,strawberries,0.01
Nick,02-03-2020,plums,0
Nick,02-03-2020,pears,0.01
Nick,02-03-2020,tomatoes,0.14
Rick,02-03-2020,apples,0.03
Rick,02-03-2020,oranges,0.17
Rick,02-03-2020,strawberries,0.01
Rick,02-03-2020,plums,0.01
Rick,02-03-2020,pears,0.04
Rick,02-03-2020,tomatoes,0.2
Dick,02-03-2020,apples,0.04
Dick,02-03-2020,oranges,0.13
Dick,02-03-2020,strawberries,0.01
Dick,02-03-2020,plums,0
Dick,02-03-2020,pears,0.05
Dick,02-03-2020,tomatoes,0.08
Jake,02-03-2020,apples,0.02
Jake,02-03-2020,oranges,0.15
Jake,02-03-2020,strawberries,0.01
Jake,02-03-2020,plums,0
Jake,02-03-2020,pears,0.02
Jake,02-03-2020,tomatoes,0.19
Paul,02-03-2020,apples,0.03
Paul,02-03-2020,oranges,0.3
Paul,02-03-2020,strawberries,0
Paul,02-03-2020,plums,0
Paul,02-03-2020,pears,0.01
Paul,02-03-2020,tomatoes,0.24
Jason,02-03-2020,apples,0.02
Jason,02-03-2020,oranges,0.1
Jason,02-03-2020,strawberries,0.01
Jason,02-03-2020,plums,0
Jason,02-03-2020,pears,0.03
Jason,02-03-2020,tomatoes,0.07
Peter,02-03-2020,apples,0.04
Peter,02-03-2020,oranges,0.3
Peter,02-03-2020,strawberries,0
Peter,02-03-2020,plums,0
Peter,02-03-2020,pears,0.04
Peter,02-03-2020,tomatoes,0.09
John,03-03-2020,apples,0.04
John,03-03-2020,oranges,0.13
John,03-03-2020,strawberries,0
John,03-03-2020,plums,0.01
John,03-03-2020,pears,0.02
John,03-03-2020,tomatoes,0.03
Nick,03-03-2020,apples,0.06
Nick,03-03-2020,oranges,0.05
Nick,03-03-2020,strawberries,0
Nick,03-03-2020,plums,0
Nick,03-03-2020,pears,0.03
Nick,03-03-2020,tomatoes,0.05
Rick,03-03-2020,apples,0.02
Rick,03-03-2020,oranges,0.23
Rick,03-03-2020,strawberries,0.01
Rick,03-03-2020,plums,0.01
Rick,03-03-2020,pears,0.04
Rick,03-03-2020,tomatoes,0.13
Dick,03-03-2020,apples,0.02
Dick,03-03-2020,oranges,0.12
Dick,03-03-2020,strawberries,0.01
Dick,03-03-2020,plums,0
Dick,03-03-2020,pears,0.06
Dick,03-03-2020,tomatoes,0.2
Jake,03-03-2020,apples,0.03
Jake,03-03-2020,oranges,0.11
Jake,03-03-2020,strawberries,0.01
Jake,03-03-2020,plums,0
Jake,03-03-2020,pears,0.03
Jake,03-03-2020,tomatoes,0.07
Paul,03-03-2020,apples,0.04
Paul,03-03-2020,oranges,0.19
Paul,03-03-2020,strawberries,0.01
Paul,03-03-2020,plums,0
Paul,03-03-2020,pears,0.08
Paul,03-03-2020,tomatoes,0.02
Jason,03-03-2020,apples,0.02
Jason,03-03-2020,oranges,0.23
Jason,03-03-2020,strawberries,0.01
Jason,03-03-2020,plums,0
Jason,03-03-2020,pears,0.06
Jason,03-03-2020,tomatoes,0.14
Peter,03-03-2020,apples,0.03
Peter,03-03-2020,oranges,0.31
Peter,03-03-2020,strawberries,0.01
Peter,03-03-2020,plums,0
Peter,03-03-2020,pears,0.08
Peter,03-03-2020,tomatoes,0.11
John,04-03-2020,apples,0.03
John,04-03-2020,oranges,0.14
John,04-03-2020,strawberries,0
John,04-03-2020,plums,0.01
John,04-03-2020,pears,0.05
John,04-03-2020,tomatoes,0.19
Nick,04-03-2020,apples,0.03
Nick,04-03-2020,oranges,0.14
Nick,04-03-2020,strawberries,0.01
Nick,04-03-2020,plums,0
Nick,04-03-2020,pears,0.02
Nick,04-03-2020,tomatoes,0.25
Rick,04-03-2020,apples,0.03
Rick,04-03-2020,oranges,0.15
Rick,04-03-2020,strawberries,0.01
Rick,04-03-2020,plums,0.01
Rick,04-03-2020,pears,0.03
Rick,04-03-2020,tomatoes,0.15
Dick,04-03-2020,apples,0.05
Dick,04-03-2020,oranges,0.15
Dick,04-03-2020,strawberries,0
Dick,04-03-2020,plums,0
Dick,04-03-2020,pears,0.04
Dick,04-03-2020,tomatoes,0.21
Jake,04-03-2020,apples,0.03
Jake,04-03-2020,oranges,0.2
Jake,04-03-2020,strawberries,0.01
Jake,04-03-2020,plums,0
Jake,04-03-2020,pears,0.07
Jake,04-03-2020,tomatoes,0.16
Paul,04-03-2020,apples,0.05
Paul,04-03-2020,oranges,0.25
Paul,04-03-2020,strawberries,0
Paul,04-03-2020,plums,0
Paul,04-03-2020,pears,0.04
Paul,04-03-2020,tomatoes,0.16
Jason,04-03-2020,apples,0.05
Jason,04-03-2020,oranges,0.24
Jason,04-03-2020,strawberries,0.01
Jason,04-03-2020,plums,0
Jason,04-03-2020,pears,0.02
Jason,04-03-2020,tomatoes,0.05
Peter,04-03-2020,apples,0.02
Peter,04-03-2020,oranges,0.2
Peter,04-03-2020,strawberries,0
Peter,04-03-2020,plums,0
Peter,04-03-2020,pears,0.07
Peter,04-03-2020,tomatoes,0.2
John,05-03-2020,apples,0.03
John,05-03-2020,oranges,0.3
John,05-03-2020,strawberries,0.01
John,05-03-2020,plums,0
John,05-03-2020,pears,0.07
John,05-03-2020,tomatoes,0.01
Nick,05-03-2020,apples,0.05
Nick,05-03-2020,oranges,0.09
Nick,05-03-2020,strawberries,0.02
Nick,05-03-2020,plums,0
Nick,05-03-2020,pears,0.02
Nick,05-03-2020,tomatoes,0.17
Rick,05-03-2020,apples,0.04
Rick,05-03-2020,oranges,0.2
Rick,05-03-2020,strawberries,0.01
Rick,05-03-2020,plums,0.01
Rick,05-03-2020,pears,0.05
Rick,05-03-2020,tomatoes,0.02
Dick,05-03-2020,apples,0.07
Dick,05-03-2020,oranges,0.19
Dick,05-03-2020,strawberries,0
Dick,05-03-2020,plums,0
Dick,05-03-2020,pears,0
Dick,05-03-2020,tomatoes,0.12
Jake,05-03-2020,apples,0.05
Jake,05-03-2020,oranges,0.25
Jake,05-03-2020,strawberries,0
Jake,05-03-2020,plums,0
Jake,05-03-2020,pears,0.07
Jake,05-03-2020,tomatoes,0.14
Paul,05-03-2020,apples,0.01
Paul,05-03-2020,oranges,0.07
Paul,05-03-2020,strawberries,0
Paul,05-03-2020,plums,0
Paul,05-03-2020,pears,0.05
Paul,05-03-2020,tomatoes,0.28
Jason,05-03-2020,apples,0.03
Jason,05-03-2020,oranges,0.28
Jason,05-03-2020,strawberries,0.01
Jason,05-03-2020,plums,0
Jason,05-03-2020,pears,0.02
Jason,05-03-2020,tomatoes,0.06
Peter,05-03-2020,apples,0.01
Peter,05-03-2020,oranges,0.33
Peter,05-03-2020,strawberries,0.01
Peter,05-03-2020,plums,0
Peter,05-03-2020,pears,0.06
Peter,05-03-2020,tomatoes,0.23
John,06-03-2020,apples,0.05
John,06-03-2020,oranges,0.18
John,06-03-2020,strawberries,0
John,06-03-2020,plums,0
John,06-03-2020,pears,0.08
John,06-03-2020,tomatoes,0.1
Nick,06-03-2020,apples,0.02
Nick,06-03-2020,oranges,0.29
Nick,06-03-2020,strawberries,0
Nick,06-03-2020,plums,0
Nick,06-03-2020,pears,0.04
Nick,06-03-2020,tomatoes,0.02
Rick,06-03-2020,apples,0.02
Rick,06-03-2020,oranges,0.09
Rick,06-03-2020,strawberries,0
Rick,06-03-2020,plums,0
Rick,06-03-2020,pears,0.06
Rick,06-03-2020,tomatoes,0.17
Dick,06-03-2020,apples,0.03
Dick,06-03-2020,oranges,0.27
Dick,06-03-2020,strawberries,0.02
Dick,06-03-2020,plums,0
Dick,06-03-2020,pears,0.04
Dick,06-03-2020,tomatoes,0.09
Jake,06-03-2020,apples,0.03
Jake,06-03-2020,oranges,0.18
Jake,06-03-2020,strawberries,0
Jake,06-03-2020,plums,0
Jake,06-03-2020,pears,0.04
Jake,06-03-2020,tomatoes,0.23
Paul,06-03-2020,apples,0.03
Paul,06-03-2020,oranges,0.2
Paul,06-03-2020,strawberries,0
Paul,06-03-2020,plums,0
Paul,06-03-2020,pears,0.03
Paul,06-03-2020,tomatoes,0.17
Jason,06-03-2020,apples,0
Jason,06-03-2020,oranges,0.23
Jason,06-03-2020,strawberries,0.01
Jason,06-03-2020,plums,0.01
Jason,06-03-2020,pears,0.05
Jason,06-03-2020,tomatoes,0.16
Peter,06-03-2020,apples,0.03
Peter,06-03-2020,oranges,0.17
Peter,06-03-2020,strawberries,0.01
Peter,06-03-2020,plums,0.01
Peter,06-03-2020,pears,0.05
Peter,06-03-2020,tomatoes,0.07
John,07-03-2020,apples,0.02
John,07-03-2020,oranges,0.19
John,07-03-2020,strawberries,0.01
John,07-03-2020,plums,0
John,07-03-2020,pears,0.02
John,07-03-2020,tomatoes,0.23
Nick,07-03-2020,apples,0.04
Nick,07-03-2020,oranges,0.29
Nick,07-03-2020,strawberries,0.01
Nick,07-03-2020,plums,0
Nick,07-03-2020,pears,0.05
Nick,07-03-2020,tomatoes,0
Rick,07-03-2020,apples,0.04
Rick,07-03-2020,oranges,0.06
Rick,07-03-2020,strawberries,0.01
Rick,07-03-2020,plums,0.01
Rick,07-03-2020,pears,0.04
Rick,07-03-2020,tomatoes,0.09
Dick,07-03-2020,apples,0.05
Dick,07-03-2020,oranges,0.19
Dick,07-03-2020,strawberries,0.01
Dick,07-03-2020,plums,0
Dick,07-03-2020,pears,0.07
Dick,07-03-2020,tomatoes,0.03
Jake,07-03-2020,apples,0.03
Jake,07-03-2020,oranges,0.24
Jake,07-03-2020,strawberries,0.01
Jake,07-03-2020,plums,0.01
Jake,07-03-2020,pears,0.09
Jake,07-03-2020,tomatoes,0.23
Paul,07-03-2020,apples,0.01
Paul,07-03-2020,oranges,0.17
Paul,07-03-2020,strawberries,0
Paul,07-03-2020,plums,0
Paul,07-03-2020,pears,0.08
Paul,07-03-2020,tomatoes,0.08
Jason,07-03-2020,apples,0.05
Jason,07-03-2020,oranges,0.28
Jason,07-03-2020,strawberries,0.01
Jason,07-03-2020,plums,0.01
Jason,07-03-2020,pears,0.05
Jason,07-03-2020,tomatoes,0.19
Peter,07-03-2020,apples,0.03
Peter,07-03-2020,oranges,0.11
Peter,07-03-2020,strawberries,0.01
Peter,07-03-2020,plums,0
Peter,07-03-2020,pears,0.06
Peter,07-03-2020,tomatoes,0.13
John,08-03-2020,apples,0.06
John,08-03-2020,oranges,0.16
John,08-03-2020,strawberries,0
John,08-03-2020,plums,0
John,08-03-2020,pears,0.01
John,08-03-2020,tomatoes,0.31
Nick,08-03-2020,apples,0.05
Nick,08-03-2020,oranges,0.26
Nick,08-03-2020,strawberries,0.01
Nick,08-03-2020,plums,0.01
Nick,08-03-2020,pears,0.08
Nick,08-03-2020,tomatoes,0.07
Rick,08-03-2020,apples,0.05
Rick,08-03-2020,oranges,0.14
Rick,08-03-2020,strawberries,0
Rick,08-03-2020,plums,0
Rick,08-03-2020,pears,0.06
Rick,08-03-2020,tomatoes,0.22
Dick,08-03-2020,apples,0.04
Dick,08-03-2020,oranges,0.18
Dick,08-03-2020,strawberries,0.01
Dick,08-03-2020,plums,0
Dick,08-03-2020,pears,0.06
Dick,08-03-2020,tomatoes,0.09
Jake,08-03-2020,apples,0.01
Jake,08-03-2020,oranges,0.19
Jake,08-03-2020,strawberries,0.01
Jake,08-03-2020,plums,0
Jake,08-03-2020,pears,0.07
Jake,08-03-2020,tomatoes,0.11
Paul,08-03-2020,apples,0.07
Paul,08-03-2020,oranges,0.19
Paul,08-03-2020,strawberries,0
Paul,08-03-2020,plums,0
Paul,08-03-2020,pears,0.08
Paul,08-03-2020,tomatoes,0.04
Jason,08-03-2020,apples,0.04
Jason,08-03-2020,oranges,0.13
Jason,08-03-2020,strawberries,0
Jason,08-03-2020,plums,0.01
Jason,08-03-2020,pears,0.04
Jason,08-03-2020,tomatoes,0.05
Peter,08-03-2020,apples,0.02
Peter,08-03-2020,oranges,0.16
Peter,08-03-2020,strawberries,0.01
Peter,08-03-2020,plums,0.01
Peter,08-03-2020,pears,0.05
Peter,08-03-2020,tomatoes,0.03
John,09-03-2020,apples,0.03
John,09-03-2020,oranges,0.32
John,09-03-2020,strawberries,0
John,09-03-2020,plums,0
John,09-03-2020,pears,0
John,09-03-2020,tomatoes,0
Nick,09-03-2020,apples,0.05
Nick,09-03-2020,oranges,0.31
Nick,09-03-2020,strawberries,0
Nick,09-03-2020,plums,0
Nick,09-03-2020,pears,0.01
Nick,09-03-2020,tomatoes,0.08
Rick,09-03-2020,apples,0.03
Rick,09-03-2020,oranges,0.18
Rick,09-03-2020,strawberries,0.01
Rick,09-03-2020,plums,0
Rick,09-03-2020,pears,0.07
Rick,09-03-2020,tomatoes,0.06
Dick,09-03-2020,apples,0.06
Dick,09-03-2020,oranges,0.17
Dick,09-03-2020,strawberries,0.01
Dick,09-03-2020,plums,0
Dick,09-03-2020,pears,0.05
Dick,09-03-2020,tomatoes,0.19
Jake,09-03-2020,apples,0.05
Jake,09-03-2020,oranges,0.22
Jake,09-03-2020,strawberries,0
Jake,09-03-2020,plums,0
Jake,09-03-2020,pears,0.06
Jake,09-03-2020,tomatoes,0
Paul,09-03-2020,apples,0.05
Paul,09-03-2020,oranges,0.28
Paul,09-03-2020,strawberries,0
Paul,09-03-2020,plums,0
Paul,09-03-2020,pears,0.04
Paul,09-03-2020,tomatoes,0.13
Jason,09-03-2020,apples,0.05
Jason,09-03-2020,oranges,0.16
Jason,09-03-2020,strawberries,0.01
Jason,09-03-2020,plums,0.01
Jason,09-03-2020,pears,0.07
Jason,09-03-2020,tomatoes,0.17
Peter,09-03-2020,apples,0.04
Peter,09-03-2020,oranges,0.08
Peter,09-03-2020,strawberries,0
Peter,09-03-2020,plums,0.01
Peter,09-03-2020,pears,0.03
Peter,09-03-2020,tomatoes,0.21
John,10-03-2020,apples,0.04
John,10-03-2020,oranges,0.11
John,10-03-2020,strawberries,0
John,10-03-2020,plums,0.01
John,10-03-2020,pears,0.06
John,10-03-2020,tomatoes,0.14
Nick,10-03-2020,apples,0.03
Nick,10-03-2020,oranges,0.16
Nick,10-03-2020,strawberries,0
Nick,10-03-2020,plums,0.01
Nick,10-03-2020,pears,0
Nick,10-03-2020,tomatoes,0.09
Rick,10-03-2020,apples,0.04
Rick,10-03-2020,oranges,0.18
Rick,10-03-2020,strawberries,0.01
Rick,10-03-2020,plums,0
Rick,10-03-2020,pears,0.08
Rick,10-03-2020,tomatoes,0.14
Dick,10-03-2020,apples,0.04
Dick,10-03-2020,oranges,0.28
Dick,10-03-2020,strawberries,0.01
Dick,10-03-2020,plums,0.01
Dick,10-03-2020,pears,0.07
Dick,10-03-2020,tomatoes,0.08
Jake,10-03-2020,apples,0.02
Jake,10-03-2020,oranges,0.26
Jake,10-03-2020,strawberries,0.01
Jake,10-03-2020,plums,0.01
Jake,10-03-2020,pears,0.07
Jake,10-03-2020,tomatoes,0.18
Paul,10-03-2020,apples,0.02
Paul,10-03-2020,oranges,0.2
Paul,10-03-2020,strawberries,0.01
Paul,10-03-2020,plums,0
Paul,10-03-2020,pears,0.05
Paul,10-03-2020,tomatoes,0.16
Jason,10-03-2020,apples,0.04
Jason,10-03-2020,oranges,0.09
Jason,10-03-2020,strawberries,0.01
Jason,10-03-2020,plums,0
Jason,10-03-2020,pears,0.04
Jason,10-03-2020,tomatoes,0.18
Peter,10-03-2020,apples,0.05
Peter,10-03-2020,oranges,0.15
Peter,10-03-2020,strawberries,0
Peter,10-03-2020,plums,0
Peter,10-03-2020,pears,0.07
Peter,10-03-2020,tomatoes,0.18
John,11-03-2020,apples,0.03
John,11-03-2020,oranges,0.17
John,11-03-2020,strawberries,0
John,11-03-2020,plums,0
John,11-03-2020,pears,0.06
John,11-03-2020,tomatoes,0.13
Nick,11-03-2020,apples,0.05
Nick,11-03-2020,oranges,0.23
Nick,11-03-2020,strawberries,0.01
Nick,11-03-2020,plums,0
Nick,11-03-2020,pears,0.05
Nick,11-03-2020,tomatoes,0.13
Rick,11-03-2020,apples,0
Rick,11-03-2020,oranges,0.07
Rick,11-03-2020,strawberries,0.01
Rick,11-03-2020,plums,0.01
Rick,11-03-2020,pears,0.01
Rick,11-03-2020,tomatoes,0.01
Dick,11-03-2020,apples,0.05
Dick,11-03-2020,oranges,0.25
Dick,11-03-2020,strawberries,0.01
Dick,11-03-2020,plums,0
Dick,11-03-2020,pears,0.07
Dick,11-03-2020,tomatoes,0.25
Jake,11-03-2020,apples,0.04
Jake,11-03-2020,oranges,0.3
Jake,11-03-2020,strawberries,0.01
Jake,11-03-2020,plums,0.01
Jake,11-03-2020,pears,0.04
Jake,11-03-2020,tomatoes,0.13
Paul,11-03-2020,apples,0.03
Paul,11-03-2020,oranges,0.1
Paul,11-03-2020,strawberries,0.01
Paul,11-03-2020,plums,0.01
Paul,11-03-2020,pears,0.06
Paul,11-03-2020,tomatoes,0.05
Jason,11-03-2020,apples,0.03
Jason,11-03-2020,oranges,0.15
Jason,11-03-2020,strawberries,0
Jason,11-03-2020,plums,0.01
Jason,11-03-2020,pears,0.07
Jason,11-03-2020,tomatoes,0.14
Peter,11-03-2020,apples,0.06
Peter,11-03-2020,oranges,0.23
Peter,11-03-2020,strawberries,0.01
Peter,11-03-2020,plums,0
Peter,11-03-2020,pears,0.01
Peter,11-03-2020,tomatoes,0
John,12-03-2020,apples,0.06
John,12-03-2020,oranges,0.17
John,12-03-2020,strawberries,0.01
John,12-03-2020,plums,0
John,12-03-2020,pears,0.01
John,12-03-2020,tomatoes,0.26
Nick,12-03-2020,apples,0.05
Nick,12-03-2020,oranges,0.27
Nick,12-03-2020,strawberries,0.01
Nick,12-03-2020,plums,0.01
Nick,12-03-2020,pears,0.02
Nick,12-03-2020,tomatoes,0.02
Rick,12-03-2020,apples,0.02
Rick,12-03-2020,oranges,0.11
Rick,12-03-2020,strawberries,0.01
Rick,12-03-2020,plums,0.01
Rick,12-03-2020,pears,0.09
Rick,12-03-2020,tomatoes,0.11
Dick,12-03-2020,apples,0.07
Dick,12-03-2020,oranges,0.27
Dick,12-03-2020,strawberries,0
Dick,12-03-2020,plums,0.01
Dick,12-03-2020,pears,0.01
Dick,12-03-2020,tomatoes,0.13
Jake,12-03-2020,apples,0.04
Jake,12-03-2020,oranges,0.18
Jake,12-03-2020,strawberries,0.01
Jake,12-03-2020,plums,0.01
Jake,12-03-2020,pears,0.06
Jake,12-03-2020,tomatoes,0.18
Paul,12-03-2020,apples,0.02
Paul,12-03-2020,oranges,0.35
Paul,12-03-2020,strawberries,0.01
Paul,12-03-2020,plums,0.01
Paul,12-03-2020,pears,0.07
Paul,12-03-2020,tomatoes,0.12
Jason,12-03-2020,apples,0.05
Jason,12-03-2020,oranges,0.12
Jason,12-03-2020,strawberries,0.01
Jason,12-03-2020,plums,0
Jason,12-03-2020,pears,0.08
Jason,12-03-2020,tomatoes,0.31
Peter,12-03-2020,apples,0.02
Peter,12-03-2020,oranges,0.18
Peter,12-03-2020,strawberries,0
Peter,12-03-2020,plums,0.01
Peter,12-03-2020,pears,0.05
Peter,12-03-2020,tomatoes,0.11
John,13-03-2020,apples,0.02
John,13-03-2020,oranges,0.22
John,13-03-2020,strawberries,0.01
John,13-03-2020,plums,0.01
John,13-03-2020,pears,0.07
John,13-03-2020,tomatoes,0.21
Nick,13-03-2020,apples,0.06
Nick,13-03-2020,oranges,0.28
Nick,13-03-2020,strawberries,0.01
Nick,13-03-2020,plums,0.01
Nick,13-03-2020,pears,0.04
Nick,13-03-2020,tomatoes,0.05
Rick,13-03-2020,apples,0.05
Rick,13-03-2020,oranges,0.12
Rick,13-03-2020,strawberries,0.01
Rick,13-03-2020,plums,0.01
Rick,13-03-2020,pears,0.05
Rick,13-03-2020,tomatoes,0.11
Dick,13-03-2020,apples,0.07
Dick,13-03-2020,oranges,0.12
Dick,13-03-2020,strawberries,0.01
Dick,13-03-2020,plums,0.01
Dick,13-03-2020,pears,0.07
Dick,13-03-2020,tomatoes,0.13
Jake,13-03-2020,apples,0.02
Jake,13-03-2020,oranges,0.18
Jake,13-03-2020,strawberries,0
Jake,13-03-2020,plums,0.01
Jake,13-03-2020,pears,0.11
Jake,13-03-2020,tomatoes,0.18
Paul,13-03-2020,apples,0.07
Paul,13-03-2020,oranges,0.18
Paul,13-03-2020,strawberries,0.01
Paul,13-03-2020,plums,0.01
Paul,13-03-2020,pears,0.05
Paul,13-03-2020,tomatoes,0.17
Jason,13-03-2020,apples,0.01
Jason,13-03-2020,oranges,0.22
Jason,13-03-2020,strawberries,0.01
Jason,13-03-2020,plums,0
Jason,13-03-2020,pears,0.01
Jason,13-03-2020,tomatoes,0.18
Peter,13-03-2020,apples,0.06
Peter,13-03-2020,oranges,0.27
Peter,13-03-2020,strawberries,0.01
Peter,13-03-2020,plums,0.01
Peter,13-03-2020,pears,0.03
Peter,13-03-2020,tomatoes,0.06
John,14-03-2020,apples,0
John,14-03-2020,oranges,0.26
John,14-03-2020,strawberries,0.02
John,14-03-2020,plums,0.01
John,14-03-2020,pears,0.04
John,14-03-2020,tomatoes,0.13
Nick,14-03-2020,apples,0.06
Nick,14-03-2020,oranges,0.24
Nick,14-03-2020,strawberries,0
Nick,14-03-2020,plums,0.01
Nick,14-03-2020,pears,0.06
Nick,14-03-2020,tomatoes,0.02
Rick,14-03-2020,apples,0.03
Rick,14-03-2020,oranges,0.21
Rick,14-03-2020,strawberries,0.01
Rick,14-03-2020,plums,0.01
Rick,14-03-2020,pears,0.06
Rick,14-03-2020,tomatoes,0.09
Dick,14-03-2020,apples,0.02
Dick,14-03-2020,oranges,0.28
Dick,14-03-2020,strawberries,0
Dick,14-03-2020,plums,0.01
Dick,14-03-2020,pears,0.06
Dick,14-03-2020,tomatoes,0.18
Jake,14-03-2020,apples,0.06
Jake,14-03-2020,oranges,0.24
Jake,14-03-2020,strawberries,0
Jake,14-03-2020,plums,0.01
Jake,14-03-2020,pears,0.06
Jake,14-03-2020,tomatoes,0.22
Paul,14-03-2020,apples,0.04
Paul,14-03-2020,oranges,0.1
Paul,14-03-2020,strawberries,0.01
Paul,14-03-2020,plums,0.01
Paul,14-03-2020,pears,0.05
Paul,14-03-2020,tomatoes,0.09
Jason,14-03-2020,apples,0.03
Jason,14-03-2020,oranges,0.05
Jason,14-03-2020,strawberries,0.01
Jason,14-03-2020,plums,0.01
Jason,14-03-2020,pears,0.1
Jason,14-03-2020,tomatoes,0.08
Peter,14-03-2020,apples,0.08
Peter,14-03-2020,oranges,0.24
Peter,14-03-2020,strawberries,0
Peter,14-03-2020,plums,0.01
Peter,14-03-2020,pears,0.06
Peter,14-03-2020,tomatoes,0.1
John,15-03-2020,apples,0.04
John,15-03-2020,oranges,0.15
John,15-03-2020,strawberries,0.01
John,15-03-2020,plums,0.01
John,15-03-2020,pears,0.06
John,15-03-2020,tomatoes,0.05
Nick,15-03-2020,apples,0.03
Nick,15-03-2020,oranges,0.19
Nick,15-03-2020,strawberries,0.01
Nick,15-03-2020,plums,0.01
Nick,15-03-2020,pears,0.05
Nick,15-03-2020,tomatoes,0.2
Rick,15-03-2020,apples,0.02
Rick,15-03-2020,oranges,0.26
Rick,15-03-2020,strawberries,0.01
Rick,15-03-2020,plums,0.01
Rick,15-03-2020,pears,0.07
Rick,15-03-2020,tomatoes,0.13
Dick,15-03-2020,apples,0.06
Dick,15-03-2020,oranges,0.21
Dick,15-03-2020,strawberries,0.01
Dick,15-03-2020,plums,0
Dick,15-03-2020,pears,0.07
Dick,15-03-2020,tomatoes,0.39
Jake,15-03-2020,apples,0.06
Jake,15-03-2020,oranges,0.39
Jake,15-03-2020,strawberries,0.01
Jake,15-03-2020,plums,0
Jake,15-03-2020,pears,0.08
Jake,15-03-2020,tomatoes,0.13
Paul,15-03-2020,apples,0.04
Paul,15-03-2020,oranges,0.29
Paul,15-03-2020,strawberries,0.02
Paul,15-03-2020,plums,0
Paul,15-03-2020,pears,0.01
Paul,15-03-2020,tomatoes,0.18
Jason,15-03-2020,apples,0.05
Jason,15-03-2020,oranges,0.2
Jason,15-03-2020,strawberries,0.02
Jason,15-03-2020,plums,0
Jason,15-03-2020,pears,0.03
Jason,15-03-2020,tomatoes,0.29
Peter,15-03-2020,apples,0.04
Peter,15-03-2020,oranges,0.23
Peter,15-03-2020,strawberries,0.01
Peter,15-03-2020,plums,0
Peter,15-03-2020,pears,0.08
Peter,15-03-2020,tomatoes,0.04
John,16-03-2020,apples,0.01
John,16-03-2020,oranges,0.19
John,16-03-2020,strawberries,0.01
John,16-03-2020,plums,0
John,16-03-2020,pears,0.08
John,16-03-2020,tomatoes,0.03
Nick,16-03-2020,apples,0.03
Nick,16-03-2020,oranges,0.14
Nick,16-03-2020,strawberries,0.01
Nick,16-03-2020,plums,0
Nick,16-03-2020,pears,0.08
Nick,16-03-2020,tomatoes,0.01
Rick,16-03-2020,apples,0.04
Rick,16-03-2020,oranges,0.18
Rick,16-03-2020,strawberries,0
Rick,16-03-2020,plums,0.01
Rick,16-03-2020,pears,0.06
Rick,16-03-2020,tomatoes,0.07
Dick,16-03-2020,apples,0.06
Dick,16-03-2020,oranges,0
Dick,16-03-2020,strawberries,0.01
Dick,16-03-2020,plums,0.01
Dick,16-03-2020,pears,0.05
Dick,16-03-2020,tomatoes,0.09
Jake,16-03-2020,apples,0.06
Jake,16-03-2020,oranges,0.19
Jake,16-03-2020,strawberries,0.01
Jake,16-03-2020,plums,0.01
Jake,16-03-2020,pears,0.09
Jake,16-03-2020,tomatoes,0.26
Paul,16-03-2020,apples,0.05
Paul,16-03-2020,oranges,0.05
Paul,16-03-2020,strawberries,0.01
Paul,16-03-2020,plums,0
Paul,16-03-2020,pears,0.07
Paul,16-03-2020,tomatoes,0.1
Jason,16-03-2020,apples,0.03
Jason,16-03-2020,oranges,0.15
Jason,16-03-2020,strawberries,0
Jason,16-03-2020,plums,0
Jason,16-03-2020,pears,0.07
Jason,16-03-2020,tomatoes,0.1
Peter,16-03-2020,apples,0.04
Peter,16-03-2020,oranges,0.3
Peter,16-03-2020,strawberries,0.01
Peter,16-03-2020,plums,0
Peter,16-03-2020,pears,0.07
Peter,16-03-2020,tomatoes,0.03
John,17-03-2020,apples,0.07
John,17-03-2020,oranges,0.18
